finding_group,item,value,unit,dataset,year,sample_size,outcome,analysis,verification_status,notes
Canadian diabetes prevalence,Newfoundland and Labrador,8.5,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,New Brunswick,7.7,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Ontario,7.1,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Nova Scotia,7.0,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Quebec,6.6,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Alberta,6.2,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Prince Edward Island,6.1,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Manitoba,5.1,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,British Columbia,4.9,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Saskatchewan,4.6,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Canadian diabetes prevalence,Territories,1.6,percent,Statistics Canada CCHS,2019–2020,Weighted population: 32.1 million Canadians,Self-reported diabetes prevalence,Survey-weighted provincial comparison,Needs review,
Adjusted geography,Newfoundland versus Ontario adjusted odds ratio,1.09,adjusted odds ratio,Statistics Canada CCHS,2019–2020,"86,893",Self-reported diabetes,Adjusted logistic regression,Needs review,"Adjusted for age, weight, income, smoking, and stress"
Adjusted geography,Prediction gain after adding province,0.003,change in model performance (exact metric not supplied),Statistics Canada CCHS,2019–2020,"86,893",Self-reported diabetes,Model comparison,Needs review,"Adjusted for age, weight, income, smoking, and stress"
Weight-class comparison,Normal or underweight,3.7,percent,Statistics Canada CCHS,2019–2020,Not supplied,Self-reported diabetes prevalence,Survey-weighted prevalence by weight class,Needs review,
Weight-class comparison,Overweight or obese,9.4,percent,Statistics Canada CCHS,2019–2020,Not supplied,Self-reported diabetes prevalence,Survey-weighted prevalence by weight class,Needs review,
